"date","close","volume","open","high","low"

"2018/09/12","32.2100","196501400.0000","29.9100","32.2900","29.4500"
"2018/09/11","30.1000","159043200.0000","30.0200","30.5900","29.3700"
"2018/09/10","29.8900","161809900.0000","28.1500","29.9250","27.8400"
"2018/09/07","27.3800","123108000.0000","26.9600","28.2700","26.8000"
"2018/09/06","27.8400","143349900.0000","28.1200","28.5800","27.1900"
"2018/09/05","28.5100","256903900.0000","29.4100","29.9400","26.8400"
"2018/09/04","28.0600","191535000.0000","25.6200","28.1100","25.5675"
"2018/08/31","25.1700","65013800.0000","24.8900","25.2400","24.7200"
"2018/08/30","24.8900","103310600.0000","25.2900","25.6700","24.7600"
"2018/08/29","25.2000","142838100.0000","24.3600","25.4100","24.0100"
"2018/08/28","25.0500","215300400.0000","25.5100","26.1800","24.0400"
"2018/08/27","25.2600","323844500.0000","24.9400","27.3000","24.6261"
"2018/08/24","23.9800","163473500.0000","22.9100","24.0000","22.6700"
"2018/08/23","22.2900","111741600.0000","21.1900","22.3200","21.1400"
"2018/08/22","20.9000","61849990.0000","20.2800","20.9200","20.2100"
"2018/08/21","20.4000","54828680.0000","19.9800","20.4150","19.8600"
"2018/08/20","19.9800","62883850.0000","19.7900","20.0800","19.3500"
"2018/08/17","19.7700","60507310.0000","19.1200","19.8200","18.7300"
"2018/08/16","19.3300","69361230.0000","19.8600","20.0700","19.2500"
"2018/08/15","19.7000","86157320.0000","19.8600","20.1000","19.2000"
"2018/08/14","20.0200","88892330.0000","19.9700","20.2800","19.6300"
"2018/08/13","19.7300","81226280.0000","19.1600","19.9300","19.1200"
"2018/08/10","19.0600","65652850.0000","19.0900","19.4800","18.8500"
"2018/08/09","19.1000","46385180.0000","19.5800","19.7100","19.0800"
"2018/08/08","19.5800","51958490.0000","19.4600","19.7700","19.2550"
"2018/08/07","19.5600","72507680.0000","19.5300","19.7100","19.0800"
"2018/08/06","19.4300","83336110.0000","18.8900","19.4400","18.4600"
"2018/08/03","18.4900","53062330.0000","18.9400","19.0566","18.3700"
"2018/08/02","18.7900","52758040.0000","18.1700","18.8300","18.0000"
"2018/08/01","18.4800","75305700.0000","18.3400","18.9500","18.3200"
"2018/07/31","18.3300","118105600.0000","19.3500","19.5000","18.2700"
"2018/07/30","19.4200","160260900.0000","19.4000","20.1800","19.3100"
"2018/07/27","18.9400","161643700.0000","19.0700","19.8800","18.3100"
"2018/07/26","18.3500","190642900.0000","17.1600","18.4500","16.8300"
"2018/07/25","16.0500","80578490.0000","16.3000","16.3900","15.7200"
"2018/07/24","16.1900","58080570.0000","16.7500","16.8600","16.1100"
"2018/07/23","16.6600","44866840.0000","16.4700","16.6800","15.8950"
"2018/07/20","16.5000","42867630.0000","16.6600","16.8800","16.4400"
"2018/07/19","16.7100","41147930.0000","16.7100","16.8800","16.5500"
"2018/07/18","16.8500","40791720.0000","16.9400","16.9900","16.5500"
"2018/07/17","16.8700","42185430.0000","16.5000","16.8800","16.4800"
"2018/07/16","16.5800","64916850.0000","16.4200","17.0000","16.4100"
"2018/07/13","16.2700","40607950.0000","16.6800","16.6900","16.2200"
"2018/07/12","16.5600","44077820.0000","16.4100","16.7900","16.3800"
"2018/07/11","16.2700","42439080.0000","16.1500","16.5300","16.0200"
"2018/07/10","16.5500","36698850.0000","16.5900","16.6500","16.3100"
"2018/07/09","16.6100","58455450.0000","16.7300","16.8400","16.1700"
"2018/07/06","16.3600","65039470.0000","15.5200","16.3900","15.4800"
"2018/07/05","15.5000","40538700.0000","15.1300","15.5000","15.0200"
"2018/07/03","15.0000","32094030.0000","15.2100","15.3400","14.9600"
"2018/07/02","15.1600","43311830.0000","14.8000","15.1800","14.7400"
"2018/06/29","14.9900","41410390.0000","15.4100","15.4900","14.9800"
"2018/06/28","15.3100","48655280.0000","14.8500","15.3600","14.7500"
"2018/06/27","14.9700","55904660.0000","15.6500","15.7600","14.9600"
"2018/06/26","15.5000","54113220.0000","15.3200","15.6000","15.1000"
"2018/06/25","15.1100","94289130.0000","15.6400","15.7400","14.5400"
"2018/06/22","15.8000","59200310.0000","15.7800","15.9100","15.5600"
"2018/06/21","15.6500","95440270.0000","16.6500","16.8700","15.4600"
"2018/06/20","16.5200","76161740.0000","16.8300","17.1300","16.3700"
"2018/06/19","16.6900","92438260.0000","16.8500","17.2900","16.3100"
"2018/06/18","17.1100","103906800.0000","16.1800","17.3400","16.1300"
"2018/06/15","16.3400","77526520.0000","16.0600","16.5200","15.8200"
"2018/06/14","16.2500","112862500.0000","16.6200","16.7900","15.5800"
"2018/06/13","16.3200","89738020.0000","15.8100","16.5200","15.7800"
"2018/06/12","15.8500","66691810.0000","15.8400","15.9500","15.4300"
